Date,Open,Close,High,Low,Volume,macd,macd_h,macd_s,rs,rsi,SMA_50,SMA_200,Output
2019-02-05,277.35,274.15,277.8,272.5,9827060,-2.08,-1.3,-0.78,0.66,39.75,281.74,283.85,0.0
2019-02-06,275.0,277.7,278.4,274.55,8097580,-2.08,-1.04,-1.04,0.82,45.0,281.6,283.86,0.0
2019-02-07,277.9,280.3,281.0,277.0,5947966,-1.85,-0.65,-1.2,0.94,48.54,281.56,283.87,0.0
2019-02-08,279.5,275.5,281.2,274.6,4405887,-2.03,-0.66,-1.37,0.76,43.04,281.32,283.87,0.0
2019-02-11,275.8,277.1,278.2,268.45,9952322,-2.02,-0.52,-1.5,0.83,45.26,281.15,283.88,0.0
2019-02-12,277.05,275.3,280.5,274.6,7341352,-2.14,-0.51,-1.63,0.76,43.22,281.0,283.87,0.0
2019-02-14,277.0,277.9,280.2,277.0,9993785,-1.99,-0.29,-1.7,0.88,46.95,280.92,283.89,0.0
2019-02-15,279.0,280.1,280.95,275.4,37552143,-1.68,0.01,-1.7,1.0,49.94,281.01,283.9,0.0
2019-02-18,278.8,274.7,282.45,273.9,40666405,-1.85,-0.12,-1.73,0.77,43.46,281.04,283.88,0.0
2019-02-19,274.0,275.9,279.2,274.0,34451117,-1.87,-0.11,-1.76,0.82,45.16,281.08,283.85,0.0
2019-02-20,277.25,275.85,277.5,274.25,5977880,-1.86,-0.09,-1.78,0.82,45.1,281.19,283.79,0.0
2019-02-21,275.9,275.05,276.75,274.2,6995026,-1.9,-0.1,-1.8,0.79,44.07,281.2,283.74,0.0
2019-02-22,275.6,274.3,275.95,273.1,8763445,-1.97,-0.13,-1.84,0.76,43.08,281.16,283.73,0.0
2019-02-25,274.5,276.7,277.15,273.0,30047503,-1.81,0.02,-1.83,0.89,47.17,281.19,283.7,0.0
2019-02-26,274.95,275.5,277.0,274.05,11779606,-1.76,0.06,-1.82,0.83,45.42,281.18,283.67,0.0
2019-02-27,276.0,275.1,278.9,273.9,13128412,-1.73,0.07,-1.8,0.81,44.82,281.09,283.63,0.0
2019-02-28,277.3,276.05,277.3,274.25,43208896,-1.61,0.15,-1.76,0.87,46.62,281.05,283.61,0.0
2019-03-01,276.45,278.2,279.0,276.25,8830848,-1.33,0.34,-1.68,1.02,50.55,280.94,283.58,0.0
2019-03-05,280.0,282.55,284.0,276.05,13580306,-0.75,0.74,-1.49,1.35,57.39,280.94,283.57,0.0
2019-03-06,285.0,285.75,289.2,284.75,20045621,-0.03,1.17,-1.2,1.6,61.6,281.12,283.59,0.0
2019-03-07,286.7,290.1,291.0,285.85,14287507,0.88,1.67,-0.78,1.98,66.45,281.4,283.61,0.0
2019-03-08,290.3,292.0,293.0,288.4,12681454,1.74,2.02,-0.28,2.16,68.33,281.71,283.68,0.0
2019-03-11,293.0,292.95,294.9,291.1,14720968,2.47,2.19,0.27,2.25,69.26,281.95,283.73,0.0
2019-03-12,294.0,294.5,295.65,293.15,14142103,3.13,2.29,0.84,2.42,70.77,282.2,283.79,0.0
2019-03-13,295.0,294.9,297.0,294.15,11070294,3.65,2.24,1.4,2.47,71.16,282.46,283.87,0.0
2019-03-14,295.4,295.5,296.0,290.45,10113962,4.06,2.12,1.94,2.54,71.77,282.72,283.98,0.0
2019-03-15,295.95,290.8,296.55,289.35,21395473,3.96,1.62,2.34,1.56,60.87,282.92,284.06,0.0
2019-03-18,292.0,293.55,294.2,291.3,9166882,4.06,1.37,2.68,1.8,64.29,283.22,284.17,0.0
2019-03-19,294.6,299.45,300.0,293.35,15756420,4.56,1.5,3.06,2.37,70.29,283.59,284.29,0.0
2019-03-20,300.0,298.9,301.95,296.6,15619922,4.85,1.44,3.42,2.24,69.12,283.93,284.41,0.0
2019-03-22,300.0,298.2,300.0,296.55,8067384,4.97,1.25,3.73,2.08,67.58,284.21,284.54,0.0
2019-03-25,297.0,295.05,297.0,293.2,8015871,4.76,0.83,3.94,1.56,61.01,284.3,284.66,0.0
2019-03-26,295.0,293.4,296.35,291.05,10763629,4.41,0.38,4.03,1.37,57.84,284.38,284.78,0.0
2019-03-27,294.0,293.1,296.7,291.6,8432517,4.06,0.02,4.04,1.34,57.26,284.33,284.9,0.0
2019-03-28,294.1,300.0,302.0,293.0,17752380,4.29,0.2,4.09,1.92,65.8,284.45,285.06,0.0
